object	id	taxonomy	obstacles	m1_cal	m2_cal	m3_cal	m4_cal	x	y	z	rx	ry	rz	m1	m2	m3	m4
mustard bottle																	
medium timmies cup	415882.0	12.0	0.0	14510	14943	16462	17892	-0.606803	-18.393777	209.574287	0.000849	-3.115557	-0.007018000000000001	15980.0	13473.0	17929.0	17488.0
medium timmies cup	415883.0	12.0	0.0	14510	14943	16462	17892	3.2424150000000003	-24.255360999999997	206.044263	0.191958	-3.127873	-0.043142	15564.0	13885.0	17516.0	17488.0
medium timmies cup	415884.0	12.0	0.0	14510	14943	16462	17892	3.157292	-12.730392	214.42136200000002	0.0056890000000000005	-3.079096	-0.012709	15983.0	13469.0	17932.0	17488.0
medium timmies cup	415885.0	12.0	0.0	14510	14943	16462	17892	2.3513610000000003	-25.379754000000002	229.184575	0.07404	-3.097379	-0.054337	15580.0	13870.0	17532.0	17488.0
medium timmies cup	415886.0	12.0	0.0	14510	14943	16462	17892	3.7350559999999997	-16.04661	220.19292799999997	0.020101	-3.068923	0.025881	15655.0	13797.0	17606.0	17488.0
medium timmies cup	463745.0	8.0	0.0	14478	14994	16412	16809	58.43592099999999	-99.533475	91.035884	-0.8218190000000001	-1.479255	-0.6855100000000001	16095.0	13374.0	18024.0	16410.0
medium timmies cup	463746.0	8.0	0.0	14478	14994	16412	16809	72.696072	-99.137518	92.385269	-0.832686	-1.453913	-0.730438	15813.0	13655.0	17748.0	16410.0
medium timmies cup	463747.0	8.0	0.0	14478	14994	16412	16809	74.39348000000001	-102.847574	91.713844	-0.8645129999999999	-1.441465	-0.742218	15849.0	13620.0	17783.0	16410.0
medium timmies cup	463748.0	8.0	0.0	14478	14994	16412	16809	63.514518	-108.98263700000001	92.583166	-0.8719680000000001	-1.463272	-0.70187	15944.0	13524.0	17876.0	16410.0
medium timmies cup	463749.0	8.0	0.0	14478	14994	16412	16809	99.679498	-77.29200300000001	86.799812	-0.618698	-1.569567	-0.56407	15902.0	13566.0	17833.0	16410.0
